name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"New York City,USA",2023-12-01T00:00:00,7.9,5.3,1,61.82,0,0,,0,0,20.5,14.7,259,1021.6,0.4,16,0,0,0,10,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2023-12-01T01:00:00,6.7,4.8,1,66.86,0,0,,0,0,16.6,9.4,219,1021.1,0.8,16,0,0,0,10,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2023-12-01T02:00:00,6.7,4,0.5,64.68,0,0,,0,0,16.6,14.3,249,1021.7,0.8,16,0,0,0,10,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2023-12-01T03:00:00,6.2,4.6,0.5,67.18,0,0,,0,0,14.8,7.7,259,1021.6,0.8,16,0,0,0,10,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2023-12-01T04:00:00,6.2,4.6,0.6,67.29,0,0,,0,0,14.8,7.6,220,1021.6,0.4,16,0,0,0,10,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2023-12-01T05:00:00,5.7,3.3,1,71.94,0,0,,0,0,16.6,11.1,239,1021.7,0.4,16,0,0,0,10,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2023-12-01T06:00:00,5.7,3.6,1.1,72.22,0,0,,0,0,14.8,9.4,239,1022,0.4,16,0,0,0,10,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2023-12-01T07:00:00,5.7,3,1.1,72.13,0,0,,0,0,14.8,12.8,269,1022,0.4,16,9,0,0,10,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2023-12-01T08:00:00,5.7,3.7,1.6,75.06,0,0,,0,0,14.8,9,262,1022.3,0.8,16,91,0.3,1,10,Clear,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2023-12-01T09:00:00,6.2,4.7,2.1,74.83,0,0,,0,0,68.4,7.5,200,1022.3,1.5,16,230,0.8,2,10,Clear,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2023-12-01T10:00:00,7.3,6,2.1,69.5,0,0,,0,0,72.2,7.3,299,1021.5,1.5,14.1,179,0.6,2,10,Clear,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2023-12-01T11:00:00,8,6.1,3.2,71.91,0,0,,0,0,13,10.7,233,1021.8,27.5,15.9,118,0.4,1,10,Partially cloudy,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2023-12-01T12:00:00,7.9,5.8,3.7,74.48,0,0,,0,0,13,12.4,233,1022.2,100,16,46,0.2,0,10,Overcast,cloudy,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2023-12-01T13:00:00,7.2,5.9,3.8,79.04,0.018,100,rain,0,0,57.2,7.5,200,1021.6,100,15.5,30,0.1,0,10,"Rain, Overcast",rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2023-12-01T14:00:00,7.2,6.4,3.9,79.65,0.026,100,rain,0,0,48.2,5.6,180,1020.4,3.9,15.5,54,0.2,1,10,Rain,rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2023-12-01T15:00:00,7.9,7.2,2.9,70.75,0,0,,0,0,50,5.5,259,1020.2,100,15.9,23,0.1,0,10,Overcast,cloudy,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2023-12-01T16:00:00,8.3,7.7,3.4,70.84,0,0,,0,0,64.8,5.5,190,1019.8,99,16,0,0,0,10,Overcast,cloudy,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2023-12-01T17:00:00,8.8,7.7,4.3,73.57,0.022,100,rain,0,0,13,7.4,159,1019.7,100,15.9,0,0,0,10,"Rain, Overcast",rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2023-12-01T18:00:00,7.9,6.3,5.6,85.74,0.095,100,rain,0,0,63,9.2,258,1019.7,100,12.7,0,0,0,10,"Rain, Overcast",rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2023-12-01T19:00:00,7.2,5.1,5.6,89.59,0.186,100,rain,0,0,55.4,11.2,239,1019.4,100,9.7,0,0,0,10,"Rain, Overcast",rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2023-12-01T20:00:00,7.2,5.9,6.1,92.76,0.149,100,rain,0,0,59,7.6,239,1019.3,100,6,0,0,0,10,"Rain, Overcast",rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2023-12-01T21:00:00,7.9,6.7,6.2,89.02,0.118,100,rain,0,0,16.6,7.2,262,1018.8,100,7.9,0,0,0,10,"Rain, Overcast",rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC"
"New York City,USA",2023-12-01T22:00:00,7.9,6.3,6.7,92.36,0.011,100,rain,0,0,18.4,9.2,229,1017.8,100,15.8,0,0,0,10,"Rain, Overcast",rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2023-12-01T23:00:00,8.4,7.2,6.7,89.3,0,0,,0,0,16.6,7.5,240,1017,100,15.9,0,0,0,10,Overcast,cloudy,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC"
"New York City,USA",2023-12-02T00:00:00,8.4,6.8,7.2,92.06,0,0,,0,0,18.4,9.5,249,1016.8,100,15.7,0,0,0,10,Overcast,cloudy,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2023-12-02T01:00:00,8.4,6.5,7.2,92,0,0,,0,0,16.6,11.1,260,1016.6,100,13.7,0,0,0,10,Overcast,cloudy,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2023-12-02T02:00:00,8.4,6.9,7.2,92.2,0,0,,0,0,14.8,9.1,253,1016.4,100,10.9,0,0,0,10,Overcast,cloudy,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2023-12-02T03:00:00,8.4,6.5,6.7,89.28,0,0,,0,0,13,11.2,259,1016.7,100,10.9,0,0,0,10,Overcast,cloudy,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2023-12-02T04:00:00,8.3,7.2,6.7,89.27,0,0,,0,0,13,7.3,262,1016.4,100,12.6,0,0,0,10,Overcast,cloudy,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2023-12-02T05:00:00,8.4,6.6,6.7,89.22,0,0,,0,0,11.2,10.6,253,1016.8,100,10.9,0,0,0,10,Overcast,cloudy,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2023-12-02T06:00:00,8.3,6.2,6.7,89.27,0,0,,0,0,9.4,12.6,269,1016.9,100,9.8,0,0,0,10,Overcast,cloudy,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2023-12-02T07:00:00,8.3,6.8,6.7,89.27,0,0,,0,0,9.4,9.2,259,1016.9,100,9.8,3,0,0,10,Overcast,cloudy,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2023-12-02T08:00:00,8.3,6.5,6.7,89.33,0,0,,0,0,9.4,10.9,249,1017.3,100,5,35,0.1,0,10,Overcast,cloudy,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2023-12-02T09:00:00,8.4,6.8,6.7,89.33,0,0,,0,0,11.2,9.5,267,1017.2,100,6,84,0.3,1,10,Overcast,cloudy,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
